Проект,Категории,Цена,Заявки
Парсер моих контактов LinkedIn,Веб-программирование,,исполнитель выбран
Требуется рерайт,Копирайтинг/Рерайтинг,,23 заявки
Нужно подверстать карточку товара,Веб-программирование,,4 заявки
Натянуть шаблон на joomla,Системы управления (CMS),$5,3 заявки
Написать 10 статей для сайта,Копирайтинг/Рерайтинг,$15,11 заявок
Нужен программист Linux,Прикладное ПО,,1 заявка
Создание простого приложения ANDROID - срочно,ПО для мобильных устройств,$300,4 заявки
Сверстать страницу на действующем сайте,HTML-верстка,$5,9 заявок
Сверстать сайт (адаптив) + натянуть на Wordpress,HTML-верстка,$80,исполнитель выбран
Скрипт парсер файлов,Веб-программирование,,10 заявок
Добавление товаров в интернет магазин (Open Cart),Наполнение сайтов,,32 заявки
3D анимации для сайта,Анимация,,4 заявки
Доработки по opencart,Системы управления (CMS),,3 заявки
Создать шаблон для WP,Системы управления (CMS),$45,7 заявок
Фирменный бланк предприятия в Word,Фирменный стиль,,6 заявок
Разработка логотипа,Знаки/Логотипы,$150,исполнитель выбран
Составление заголовков для текстов,Копирайтинг/Рерайтинг,,10 заявок
Посадить сайт на CMS,Системы управления (CMS),,10 заявок
Перенос сайт на Битрикс,Системы управления (CMS),,12 заявок
Разработка поисковика на сайте по примеру,Веб-программирование,,7 заявок
Нужно написать тексты на тему whatsapp,Копирайтинг/Рерайтинг,,11 заявок
"Лег сервер (php + nginx + apache , mysql) (срочно!)",Системное администрирование,,15 заявок
"Сайт на wordpress с адаптивным шаблоном, выкуп авто",Сайты «под ключ»,$125,8 заявок
Программа для выделения словоформ в тексте,Прикладное ПО,,1 заявка
Компьютерный практикум,Дипломы/Курсовые/Рефераты,,2 заявки
Настроить Яндекс директ. Только с опытом недвижимости,Контекстная реклама,$1500,4 заявки
Иллюстрация детской образовательной книги,Иллюстрации/Рисунки,,8 заявок
Копипаст проекта,Сайты «под ключ»,,8 заявок
3D моделирование и ролик,3D-графика,,3 заявки
Сайт-электронная библиотека (доделать),Веб-программирование,,3 заявки
Ищем программиста 1С-Битрикс,Системы управления (CMS),,2 заявки
Разработать программу по снятию позиций сайта в поисковиках,Прикладное ПО,,2 заявки
Доработка диплома по физической культуре,Дипломы/Курсовые/Рефераты,,5 заявок
Копирование и доработка оконного калькулятора по аналогу,Веб-программирование,,7 заявок
Написать серию статей для сайта,Копирайтинг/Рерайтинг,,26 заявок
PHP Laravel создание раздела сайта,Веб-программирование,,2 заявки
Работа с Html и скриптами в Greasemonkey.,Веб-программирование,,3 заявки
Копирайт/рерайт,Копирайтинг/Рерайтинг,,17 заявок
Разработка сайта для компании по ремонту квартир (дизайн готов),"HTML-верстка, Веб-программирование",,исполнитель выбран
Нарисовать флаер,Дизайн продукции,,исполнитель выбран
Сделать автоматизированный парсер для сайта плитки,Веб-программирование,,14 заявок
Очистить сервер от вирусов,Системное администрирование,,7 заявок
Верстка LP,HTML-верстка,,16 заявок
"Активное, интенсивное продвижение сайта в сети интернет",Поисковые системы (SEO),,2 заявки
Придумать название бренда,Нейминг/Слоганы,$5,32 заявки
СЕО по региону,Поисковые системы (SEO),,41 заявка
Доработка сайта,Веб-программирование,,4 заявки
Разработка интернет-площадки для тендеров,Веб-программирование,,5 заявок
Натянуть на Wordpress,Системы управления (CMS),$100,13 заявок
Нужен adsense safe traffic,Поисковые системы (SEO),,нет заявок
Исправить отображение видео в баннере на мобильных устройствах,Баннеры,,нет заявок
Часть семантического ядра сайта (таможенное оформление),Поисковые системы (SEO),,6 заявок
Создание интернет-магазина,Интернет-магазины,,16 заявок
Раздел автомобильной тематики (Drupal 7),Веб-программирование,,3 заявки
Адаптивная и кроссбраузерная верстка на Bootstarp,HTML-верстка,$75,25 заявок
Доработка хедера и меню сайта на opencart,Дизайн сайтов,,4 заявки
Интеграция edost.ru и плагина one page checkout для Virtuemart 3,Интернет-магазины,,1 заявка
Написать парсер на С++ с интеграцией Capmonster (zennolab),Прикладное ПО,$120,нет заявок
Баннеры для сайта (статичные),Баннеры,,39 заявок
Обложка и буклет для CD диска ( рок-группа),"Иллюстрации/Рисунки, Дизайн продукции",,8 заявок
Хранимые процедуры для MS SQL 2008,Базы данных,$10,9 заявок
Программирование сайта,Веб-программирование,,20 заявок
Доработка мобильного приложения iOS,ПО для мобильных устройств,$5000,13 заявок
Требуется специалист по видео 3D-анимация,"3D-графика, Видеомонтаж",,6 заявок
Простое мобильное приложение с текстовыми фразами (iOS+Android),ПО для мобильных устройств,,4 заявки
Сайт визитка,Сайты «под ключ»,,37 заявок
"Закупать ссылки, статьи на тематических форумах.",Поисковые системы (SEO),,4 заявки
Создание листовки,"Дизайн продукции, Иллюстрации/Рисунки",,исполнитель выбран
Написание интерфейса для системы GPS мониторинга на HTML5,Веб-программирование,$3500,8 заявок
Статья подарочной тематики в блоговом стиле,Копирайтинг/Рерайтинг,,8 заявок
Создать сайт для автосервиса,Веб-программирование,,20 заявок
Требуется WordPress разработчик,Системы управления (CMS),,12 заявок
Синхронизация интернет-магазина с базами поставщиков в InSales,Интернет-магазины,,2 заявки
"РК в Google Adwords, ЯндексДирект.  Аудит, перенастройка, ведение.",Контекстная реклама,,2 заявки
Продающая фотография приставки,Фотография (съемка),,4 заявки
Разработка и создание мобильного приложение на основе сайта,ПО для мобильных устройств,,3 заявки
Требуется копирайтер,Копирайтинг/Рерайтинг,,16 заявок
Написать код сервиса-инструмента проверки сайтов на фильтр АГС,Веб-программирование,,3 заявки
Вставить виджеты с фейсбука и вконтакте на сайт www.spraachen.kiev.ua,Веб-программирование,$15,8 заявок
Нарисовать 5 векторных рисунков на заданные темы,Иллюстрации/Рисунки,,8 заявок
Отрисовка баннеров и аватарок,"Баннеры, Пиксел-арт/Иконки",,16 заявок
Поиск информации в сети,Наполнение сайтов,,4 заявки
Ищу администратора для публикации 120 статей в группе Вк,Наполнение сайтов,,12 заявок
Настроить поля для SEO в админке Modx,Системы управления (CMS),$5,3 заявки
Настроить поля для SEO в админке Modx,Системы управления (CMS),$5,3 заявки
Сделать макет для щита на стене,Наружная реклама,,17 заявок
Ищу Android-разработчика с опытом создания видео/аудио редакторов,ПО для мобильных устройств,,3 заявки
Адаптировать под мобильные устройства,HTML-верстка,,4 заявки
Разработка лендинга. Дизайн/верстка/привязка,"Дизайн сайтов, HTML-верстка",,19 заявок
Автор контрольной работы по информатике!,Дипломы/Курсовые/Рефераты,,11 заявок
Теория диплома.,Дипломы/Курсовые/Рефераты,$120,12 заявок
Сделать анимацию в логотипе,"Анимация, Знаки/Логотипы",,12 заявок
Доработка проекта на ruby on rails,Веб-программирование,,1 заявка
Правки на сайте Club95c.ru,Веб-программирование,,9 заявок
Создать превью-макет одежды,"Иллюстрации/Рисунки, Дизайн продукции",,8 заявок
Доработка блога на Wordpress,Веб-программирование,$10,3 заявки
Плагин к шоп скрипт 6,Веб-программирование,$350,нет заявок
Подготовка принта для печати,Верстка полиграфии,,3 заявки
"Нужен дизайн лендинга (lending, landing, лэнд)",Дизайн сайтов,$30,24 заявки
1с:УНФ (фреш) Отчеты+печатные формы,Бухгалтерские услуги,$25,1 заявка
Opencart доработки,Веб-программирование,,1 заявка
Отрисовка выкройки по растру в вектор,Иллюстрации/Рисунки,,12 заявок
"Копирайт 3 статьи на тему генетики, инноваций в биологии и медицине",Копирайтинг/Рерайтинг,,6 заявок
Взять интервью у нескольких человек,Копирайтинг/Рерайтинг,,5 заявок
3D-модели лестниц в SketchUP с рендером,"Интерьеры/Экстерьеры, 3D-графика",$450,исполнитель выбран
Автоматический перенос новостей с основного сайта на зеркало (ДЛЕ),Веб-программирование,,исполнитель выбран
Сверстать страницу,HTML-верстка,,исполнитель выбран
Aнимация на JS,Веб-программирование,,9 заявок
Верстка темы для Drupal 7. Только СПб,HTML-верстка,,2 заявки
Расширенная электронная торговля Analytics,Веб-программирование,,нет заявок
Написать код для сервиса проверки сайтов,Веб-программирование,,исполнитель выбран
Создать интерактивный поиск для сайта на WordPress,Веб-программирование,,3 заявки
Настройка емейл рассылки для подписчиков сайта,Прикладное ПО,,1 заявка
Удалить вирусы с хостинга,Веб-программирование,,8 заявок
Добавление товаров на сайт,Наполнение сайтов,,5 заявок
Собрать базу и разослать письма,Наполнение сайтов,$1,3 заявки
Создать сайт под ключ.,Сайты «под ключ»,,15 заявок
Cделать иллюстрацию,Иллюстрации/Рисунки,,15 заявок
Ищу программиста php,Веб-программирование,,1 заявка
Программирование сайта(CodeIgniter) по готовой верстке,Веб-программирование,,исполнитель выбран
Модель квартиры и рендеры,Интерьеры/Экстерьеры,,30 заявок
Добавление нового функционала на  существующий сайт,Веб-программирование,,нет заявок
Агентство недвижимости,Сайты «под ключ»,,8 заявок
Сделать 2 калькулятора для сайта по образцам,Веб-программирование,,исполнитель выбран
Создать ресурс в области мероприятий с нуля,Сайты «под ключ»,,4 заявки
Базовые настройки интернет-магазина на 1C:Битрикс,Интернет-магазины,$18,2 заявки
Создать идентичный сайт,Сайты «под ключ»,,17 заявок
Обновить сайт с Joomla 1 5 22 на последнюю версию,Системы управления (CMS),,исполнитель выбран
Разработка  дизайна для стикера фотографа,Дизайн продукции,,3 заявки
Дизайнер для email рассылки,Дизайн сайтов,,7 заявок
Требуется дизайн интернет-магазина,Дизайн сайтов,$350,28 заявок
Правки сайта на цмс djem,Системы управления (CMS),,2 заявки
Нужна консультация по платной рекламе в ФБ,Социальные сети (SMM/SMO),$10,3 заявки
Настройка App Metrica deep links + доработка web view приложения,ПО для мобильных устройств,,нет заявок
Анимировать FLASH шапку для сайта из PSD,Анимация,,6 заявок
Одностраничный сайт,Сайты «под ключ»,,17 заявок
Окно купить в один клик,Веб-программирование,,4 заявки
Отчет_по_учебной_практике(160602)-БУ-1С,Копирайтинг/Рерайтинг,,1 заявка
Настроить динамический ремаркетинг/ретаргетинг,Контекстная реклама,,5 заявок
Настроить хорошую аналитику.,Контекстная реклама,,3 заявки
"Требуется художник с стиле аниме, хентай в векторе",Иллюстрации/Рисунки,$60,7 заявок
Разработать програму для активизации виртуального послед. порта,Прикладное ПО,,нет заявок
Перевести небольшое письмо на Немецкий язык.,Переводы,,исполнитель выбран
Разноплановые задачи в программной части сайтов,Веб-программирование,,2 заявки
Перевести короткий текст RU > EN по тематике CPA маркетинга,Переводы,,22 заявки
Нужно написать Win скрипт который бы автоматически менял иконки в файл,Веб-программирование,,1 заявка
Создание сайта модельного агенства.,Веб-программирование,,15 заявок
Рерайт на английском,Копирайтинг/Рерайтинг,,исполнитель выбран
Курсовая работа по Страховое дело по готовому плану.,Дипломы/Курсовые/Рефераты,,1 заявка
Курсовая по менеджменту,Дипломы/Курсовые/Рефераты,,2 заявки
Нужно найти информацию о компаниях в инете и зарегистрироваться,Наполнение сайтов,,1 заявка
"Разработка сайта агрегатора, CMS",Веб-программирование,,3 заявки
Веб дизайн лэндинг пейдж,Дизайн сайтов,,исполнитель выбран
"Доработка сайта, оптимизация, раскрутка в поисковиках","Веб-программирование, Поисковые системы (SEO)",,18 заявок
Парсинг сайтов,Веб-программирование,,4 заявки
Реверс-инжиниринг игр CS,Системное программирование,$500,нет заявок
Шапка для ютуб канала,Баннеры,$5,13 заявок
Срочный перевод с русского на английский худ.текста,Переводы,,21 заявка
Постинг на форумах по недвижимости (Москва),Социальные сети (SMM/SMO),,3 заявки
Диплом по экономике (техникум),Дипломы/Курсовые/Рефераты,,2 заявки
Переработать текст,Дипломы/Курсовые/Рефераты,$7,3 заявки
Выгрузить внешние ссылки сайта,Веб-программирование,$5,3 заявки
Курсовая по менеджменту,Дипломы/Курсовые/Рефераты,,2 заявки
Создать плагин табов на WP,Веб-программирование,,5 заявок
Исправить баги в Wordpress,Системы управления (CMS),,3 заявки
Нарисовать этикетку,Дизайн продукции,,исполнитель выбран
Заполнение сайта - добавление карточек товаров,Наполнение сайтов,,27 заявок
"Исправить недочеты, сайт WP",Системы управления (CMS),,4 заявки
"Добавить готовый виджет BOXBERRY, сайт на opencart",Веб-программирование,,3 заявки
Видеомонтаж,Видеомонтаж,,6 заявок
"Сем ядро, настройка контекстной рекламы",Контекстная реклама,$40,6 заявок
Необходима локализованная копия иностранного сайта,Системы управления (CMS),,4 заявки
Дизайн и адаптивная верстка для интернет магазина,"Дизайн сайтов, HTML-верстка",,19 заявок
Создание логотипа для логистического агрегатора,Знаки/Логотипы,$70,23 заявки
Drupal Commerce. Оплата картами в Беларуси.,Интернет-магазины,,2 заявки
Редактирование сайта на ModX Revo,Системы управления (CMS),,6 заявок
Нужно создать набор автоматических тестов. Только опытные тестировщики,Тестирование сайтов,$2000,2 заявки
Требуются опытные обзорщики спорт событий,Новости/Статьи/Обзоры,,4 заявки
Требуется специалист на самописную CMS - 1 задача,Системы управления (CMS),$5,4 заявки
Переделать сайт,Сайты «под ключ»,,18 заявок
Геология Рогожниковского месторождения.,Дипломы/Курсовые/Рефераты,,нет заявок
Поправить сайт после переноса на другой сервер,Веб-программирование,,5 заявок
Лидогенерация по кошелькам ручной работы из итальянской кожи,Поисковые системы (SEO),,1 заявка
Разработать дизайн-макет коробки и листовку A6,Дизайн продукции,,исполнитель выбран
СЕО-копирайтинг со знанием тематики скрапбукинг,Копирайтинг/Рерайтинг,,10 заявок
Наполнение туристического раздела сайта,Наполнение сайтов,$300,9 заявок
Дизайн psd нужно скопировать с готового сайта и внести дополнения,Дизайн сайтов,$20,9 заявок
План по увеличению конверсии,Поисковые системы (SEO),,3 заявки
Нет трафика в новых статьях. Причины?,Поисковые системы (SEO),,6 заявок
Нарисовать иконку для логотипа,Пиксел-арт/Иконки,$50,5 заявок
89_Диплом_Реклама,Дипломы/Курсовые/Рефераты,,5 заявок
Обработка фотографий для интернет-магазина,Фотография (обработка),,28 заявок
Диплом по кадастру,Дипломы/Курсовые/Рефераты,,нет заявок
Разработка интернет-магазина на OpenCart,Веб-программирование,,5 заявок
Создание рекламной кампании,Контекстная реклама,,12 заявок
Доработать дипломную работу! Строительство,Дипломы/Курсовые/Рефераты,,1 заявка
Настроить шаблон для Wordpress,HTML-верстка,$100,5 заявок
Скачать сайт + правки + форма обратной связи,Веб-программирование,$7,исполнитель выбран
Внести небольшие правки по юзабилити сайта (DLE),Веб-программирование,$15,1 заявка
Поработать по дизайну сайта,Дизайн сайтов,,17 заявок
Sniff Instagram Android,Веб-программирование,,нет заявок
Корректировка и увеличение мощности почтового сервера,Системное администрирование,,2 заявки
«Перевести КП на английский 1 страница»,Переводы,,24 заявки
Добавление красивого фона к фото объекта,Фотография (обработка),,20 заявок
"Требуется редизайн сайта. Навести красоту, верстка сайта.","Дизайн сайтов, HTML-верстка",,16 заявок
Сделать логотип,Знаки/Логотипы,,31 заявка
Требуется скопировать фото и написать описание товара,"Наполнение сайтов, Копирайтинг/Рерайтинг",,23 заявки
Сверстать страницу. Адаптивная верстка под два разрешения,HTML-верстка,,27 заявок
Починить парсер (Drupal),Веб-программирование,,2 заявки
Требуется копирайтер технических текстов для интернет-магазина,Копирайтинг/Рерайтинг,,20 заявок
Приложение для Андроида под уже имеющуюся серверн и клиент,ПО для мобильных устройств,,4 заявки
3D модель окна,3D-графика,$45,исполнитель выбран
Статус для отсутствующих товаров в самописной cms,Веб-программирование,,исполнитель выбран
Разработка интернет-магазина на Битриксе,Сайты «под ключ»,,7 заявок
Верстка макета на WordPress,HTML-верстка,,3 заявки
Bitrix. Сделать небольшие доработки на сайте.,Системы управления (CMS),,нет заявок
Скрайбинг (2 видео),Видеомонтаж,,3 заявки
Разработать корпоративный бланк (шапку),Дизайн продукции,$10,9 заявок
Доработать анимацию в верстке,HTML-верстка,$8,4 заявки
Парсинг гугла,Веб-программирование,$600,6 заявок
Задача по синхронизации 1с и Битрикс 24,Веб-программирование,,нет заявок
"Собрать базу контактов по данным сайтов, размещенных в интернете",Наполнение сайтов,,3 заявки
Программист по OpenCart 1.5 -2.0 + retailrocket.ru,Системы управления (CMS),,нет заявок
Интернет-магазин на ОпенКарт,Интернет-магазины,,6 заявок
Интернет-магазин на ОпенКарт,Интернет-магазины,,6 заявок
Интернет-магазин на OpenCart,Веб-программирование,,4 заявки
Автор курсовой работы по менеджменту,Дипломы/Курсовые/Рефераты,,5 заявок
Требуется 40 тыс уникальных офферов для сообщества Вконтакте,Социальные сети (SMM/SMO),,3 заявки
Поправить и дописать скрипты на сайте,Веб-программирование,,3 заявки
Приложение: сделать фото и обработать на лету.,Прикладное ПО,,3 заявки
Нужен интернет-магазин с продвинутой партнерской программой,Сайты «под ключ»,,11 заявок
Составить ТЗ для разработки ИМ на Битрикс,Интернет-магазины,$45,1 заявка
Перенос сайта с modx на joomla или wordpress,"HTML-верстка, Системы управления (CMS)",,9 заявок
Заказ и размещение статей на сайте на друпал,Наполнение сайтов,$83,4 заявки
Рерайт,Копирайтинг/Рерайтинг,,50 заявок
"Доработка проекта (php (codeigniter), js) интеграция с биллингом whmcs",Веб-программирование,,3 заявки
1C УТ 3.1 для Украины - невозможно создать номенклатуру,1С-программирование,,6 заявок
Сайт-визитка,Сайты «под ключ»,,37 заявок
Создание сметы по расценкам г. Севастополь,"Юридические услуги, Финансовые услуги",$40,3 заявки
Требуется дизайн и верстка сайта по готовому макету.,"Дизайн сайтов, HTML-верстка",,исполнитель выбран
Статьи для сайта,Копирайтинг/Рерайтинг,,3 заявки
Редактор контента.,Наполнение сайтов,,11 заявок
Отрисовать планировки,Чертежи/Схемы,,23 заявки
"Сайт в топе в Яндексе, а в Гугле его нет. Надо понять, что делать",Поисковые системы (SEO),,13 заявок
Плеер для сайта,Веб-программирование,,2 заявки
Перевод интервью,Переводы,$10,37 заявок
Доработка функционала самописной CMS,Веб-программирование,,6 заявок
Сверстать сайт на  все платформы,HTML-верстка,,27 заявок
Прием звонков в мебельном интернет-магазине,Служба поддержки,,17 заявок
Женский голос с хорошо поставленной дикцией для автоответчика,Озвучивание,$7,23 заявки
Сверстать и настроить. Битрикс,HTML-верстка,,3 заявки
Ищем специалиста по работе с базой данных Tecdoc в MYSQL,Базы данных,,1 заявка
Создать серию из 3d картинок,3D-графика,,15 заявок
Свой шаблон title для All in One SEO Pack (wordpress),Веб-программирование,$1,1 заявка
Настроить директ,Контекстная реклама,,11 заявок
Нарисовать дизайн для интернет-магазина часов,Дизайн сайтов,,47 заявок
Аудит кампании на РСЯ,Поисковые системы (SEO),$7,2 заявки
Требуется создание сайта,Сайты «под ключ»,,7 заявок
Настройка контекстной рекламы,Контекстная реклама,,8 заявок
Wordpress. Сделать небольшие доработки.,HTML-верстка,,3 заявки
Верстка сайта о спорте,HTML-верстка,,12 заявок
Поднять сайт в поисковых системах.,Поисковые системы (SEO),,24 заявки
Сделать заготовку для брендинга сайта,Баннеры,$10,10 заявок
Разработка личного кабинета,Веб-программирование,$1500,5 заявок
Нужен человек на верстку со знанием апи яндекс карт,HTML-верстка,$100,6 заявок
Накрутка участников в группу VK,Социальные сети (SMM/SMO),,6 заявок
Нужен спец по работе с парсингом xml и тором,Веб-программирование,,4 заявки
Комплект банеров для adwords,Баннеры,,14 заявок
Сделать 5 секундную вставку перед видео роликом,Видеомонтаж,,26 заявок
Доработка функциональности и установка DRUPAL на простом сайте,Системы управления (CMS),,1 заявка
"Приглашаю копирайтера - проект ""Написать 6 статей по 3000 знаков",Копирайтинг/Рерайтинг,,3 заявки
Разработка логотипа компании,Знаки/Логотипы,,22 заявки
"Текст для лендинга – новая ниша, простор для творчества",Копирайтинг/Рерайтинг,$200,4 заявки
Создать сайт бронирования мест в ресторане,Веб-программирование,,исполнитель выбран
Логистика,Дипломы/Курсовые/Рефераты,,1 заявка
Реализация эффекта Дросте(рекурсия изображений) с помощью php или др.,HTML-верстка,,нет заявок
Доработать магазин на Опенкарте,Системы управления (CMS),,1 заявка
Нужна помощь по борьбе с  гугл пингвином,Поисковые системы (SEO),,2 заявки
Переводческий анализ,Переводы,,7 заявок
"Дизайн, маркетинг, контент",Веб-программирование,,нет заявок
Создание обучающего курса торговли бинарными опционами,Новости/Статьи/Обзоры,,3 заявки
Написать объявления на 130 ключей.,Контекстная реклама,,8 заявок
Создание страницы на сайте ресторана,"HTML-верстка, Веб-программирование",,исполнитель выбран
Нарисовать объект на JS в svg,Веб-программирование,,3 заявки
Сделать временный мини сайт,Сайты «под ключ»,$20,16 заявок
Создать свидетельство о публикации,Дизайн продукции,,исполнитель выбран
Cайт-каталог на OpenCart,Интернет-магазины,$150,3 заявки
Оператор интернет-магазина,Служба поддержки,$120,10 заявок
Написать PR статьи для инженерной компании,Копирайтинг/Рерайтинг,,13 заявок
Сделать адаптивную верстку у простого сайта на DLE,HTML-верстка,,6 заявок
Нужно сделать легкий редизайн,Дизайн сайтов,,20 заявок
Создание (разработка и дизайн) вебсайта под ключ,Сайты «под ключ»,$500,31 заявка
Внести изменения в изображение банки,3D-графика,,исполнитель выбран
Написать темы писем для рыссылок,Копирайтинг/Рерайтинг,,2 заявки
Нужно написать 3 email письма,Копирайтинг/Рерайтинг,,2 заявки
Видео отзывы на товар,Видеомонтаж,,1 заявка
Наполнение интернет магазина и администрирование,Наполнение сайтов,,6 заявок
SEO продвижение нового сайта,Поисковые системы (SEO),,24 заявки
Создать опрос с ветвлением (логика пропуска),Веб-программирование,,5 заявок
Доработка магазина на OpenCart,Веб-программирование,,3 заявки
Уникальный текст,Копирайтинг/Рерайтинг,,4 заявки
Проект на автомобильную тематику,Копирайтинг/Рерайтинг,,33 заявки
Нужно переделать вот такой сайт - немножко усовершенствовать,Сайты «под ключ»,,11 заявок
Дизайнер + верстальщик,"HTML-верстка, Дизайн сайтов",,33 заявки
Модернизация технологической схемы ДНС,Дипломы/Курсовые/Рефераты,,нет заявок
Дизайн интернет-магазина бытовой/компьютерной техники,Дизайн сайтов,,исполнитель выбран
Нарисовать иконку для игры,Пиксел-арт/Иконки,$25,7 заявок
Натянуть верстку на CMS,Системы управления (CMS),,исполнитель выбран
Работа с предоплатой для автора с хорошим слогом,Копирайтинг/Рерайтинг,$40,2 заявки
Корректировка 5 ти файлов в фотошоп,Фотография (обработка),$10,48 заявок
Требуется ASP кодер,Прикладное ПО,$150,2 заявки
Интернет магазин по продаже систем светодиодного освещения,Сайты «под ключ»,,18 заявок
"Разработка мобильного приложения для Android, iOs, Wph",ПО для мобильных устройств,,4 заявки
Помогите с выводом графика серий,Веб-программирование,,1 заявка
"Верстка, программинг +Excel. (Украинский язык)","HTML-верстка, Веб-программирование",,7 заявок
Доделать диплом. Реклама,Дипломы/Курсовые/Рефераты,,3 заявки
"Ищу авторов для проектов - Дом, семья, огород. (заданий более 800 шт)",Копирайтинг/Рерайтинг,,4 заявки
Ответить на вопросы,Дипломы/Курсовые/Рефераты,,7 заявок
Диплом. Динамический синтез цифровой САР....,Дипломы/Курсовые/Рефераты,,1 заявка
Написать 10 описаний к новостройкам СПб,Копирайтинг/Рерайтинг,$20,3 заявки
Копирайт детская тематика,Копирайтинг/Рерайтинг,,23 заявки
Настроить выгрузку объектов недвижимости из Exel в СРМ intrumnet через,Веб-программирование,,нет заявок
"Оформить и опубликовать 30 статей на сайте, тематика SEO",Наполнение сайтов,$15,4 заявки
Диплом связь,Дипломы/Курсовые/Рефераты,,1 заявка
Необходимо удалить дублирующую страницу на сайте,Веб-программирование,,2 заявки
Создание автоматизированной программы для рассылки сообщений в онлайн,Прикладное ПО,,1 заявка
Скопировать интрнет магазин на Opencart,Веб-программирование,$150,4 заявки
Разработка интернет-магазина на шаблоне Опенкарт,Сайты «под ключ»,,9 заявок
Нужен тот кто умеет быстро верстать,HTML-верстка,,7 заявок
Разработать логотип (вектор) для интернет-магазина,Знаки/Логотипы,,12 заявок
Настройка КМС,Контекстная реклама,,6 заявок
Дизайн главной страницы для сайта стоматологии,Дизайн сайтов,$70,5 заявок
Программу регистрации и размещения обьявлений на досках,Веб-программирование,,1 заявка
Нарисовать тетрис,Иллюстрации/Рисунки,,14 заявок
Настроить работу сайта с Yandex Maps API,Веб-программирование,,4 заявки
Нужна адаптивная верстка,HTML-верстка,,14 заявок
Макет рекламной листовки,Дизайн продукции,,12 заявок
Верстальщик на WordPress,HTML-верстка,,6 заявок
Распределить правильно категории для нового меню,Дизайн сайтов,,4 заявки
Плагин брони/расчета такси для WP  или без CMS,Веб-программирование,,3 заявки
Wordpress  сайт,Сайты «под ключ»,,9 заявок
Разработка программы.,Прикладное ПО,$50,исполнитель выбран
Шаблоны смс,Копирайтинг/Рерайтинг,$20,исполнитель выбран
Создать прайс для оптового покупателя OpenCart Версия 1.5.5.1.2,Веб-программирование,,3 заявки
Создать прайс для оптового покупателя OpenCart Версия 1.5.5.1.2,Веб-программирование,,3 заявки
Тексты по Здоровью детей,Копирайтинг/Рерайтинг,,9 заявок
Менеджер с отличным знанием английского языка,Управление проектами,,3 заявки
Разработка Корпоративного портала SharePoint Online (Office365),Прикладное ПО,,2 заявки
Рерайтер по строительной теме,Копирайтинг/Рерайтинг,$10,4 заявки
Копирайтер на тексты по замкам,Копирайтинг/Рерайтинг,$10,2 заявки
Копирайтер по строительной теме,Копирайтинг/Рерайтинг,$10,2 заявки
Перевести на корейский,Переводы,$500,12 заявок
Нужно описание для рыболовного ИМ.,Копирайтинг/Рерайтинг,,9 заявок
Нужен специалист по работе с базой данных автозапчастей в MSQL Tecdoc,Базы данных,,1 заявка
Создание сайта с нуля. Видео чат с поминутной тарификацией.,Сайты «под ключ»,,5 заявок
Корректировка и редактура книги,Редактирование/Корректировка,,исполнитель выбран
Нужен интернет-магазин,"Сайты «под ключ», Интернет-магазины",,29 заявок
Создание презентации и сценария к обучающим роликам,"Презентации, Копирайтинг/Рерайтинг",,4 заявки
Оптимизировать (ускорить) сайт,Веб-программирование,,7 заявок
